,Date,High,Precipitation,Temp Category
0,10/30/20,61.0,0.0,Low
1,10/29/20,61.0,0.0,Low
2,10/28/20,54.96,0.0,Low
3,10/27/20,44.0,0.0,Low
4,10/26/20,34.0,0.0,Low
5,10/25/20,32.0,0.0,Low
6,10/24/20,34.0,1.0,Low
7,10/23/20,34.0,1.0,Low
8,10/22/20,45.0,0.0,Low
9,10/21/20,48.0,1.0,Low
10,10/20/20,55.0,0.0,Low
11,10/19/20,63.0,0.0,Low
12,10/18/20,52.0,1.0,Low
13,10/17/20,61.0,0.0,Low
14,10/16/20,64.0,0.0,Low
15,10/15/20,55.0,0.0,Low
16,10/14/20,55.0,0.0,Low
17,10/13/20,63.0,1.0,Low
18,10/12/20,61.0,0.0,Low
19,10/11/20,55.0,1.0,Low
20,10/10/20,57.0,1.0,Low
21,10/9/20,73.0,0.0,High
22,10/8/20,73.0,0.0,High
23,10/7/20,82.0,0.0,High
24,10/6/20,82.0,0.0,High
25,10/5/20,77.0,0.0,High
26,10/4/20,79.0,0.0,High
27,10/3/20,79.0,0.0,High
28,10/2/20,79.0,0.0,High
29,10/1/20,75.0,0.0,High
30,9/30/20,81.0,0.0,High
31,9/29/20,81.0,0.0,High
32,9/28/20,72.0,0.0,Low
33,9/27/20,66.0,0.0,Low
34,9/26/20,63.0,0.0,Low
35,9/25/20,63.0,1.0,Low
36,9/24/20,66.0,1.0,Low
37,9/23/20,75.0,0.0,High
38,9/22/20,75.0,0.0,High
39,9/21/20,75.0,0.0,High
40,9/20/20,72.0,0.0,Low
41,9/19/20,68.0,1.0,Low
42,9/18/20,75.0,0.0,High
43,9/17/20,79.0,0.0,High
44,9/16/20,79.0,0.0,High
45,9/15/20,79.0,0.0,High
46,9/14/20,73.0,0.0,High
47,9/13/20,70.0,0.0,Low
48,9/12/20,81.0,0.0,High
49,9/11/20,88.0,0.0,High
50,9/10/20,86.0,0.0,High
51,9/9/20,82.0,0.0,High
52,9/8/20,72.0,0.0,Low
53,9/7/20,72.0,0.0,Low
54,9/6/20,91.0,0.0,High
55,9/5/20,91.0,0.0,High
56,9/4/20,97.0,0.0,High
57,9/3/20,90.0,0.0,High
58,9/2/20,88.0,0.0,High
59,9/1/20,88.0,0.0,High
60,8/31/20,73.0,0.0,High
61,8/30/20,75.0,0.0,High
62,8/29/20,84.0,0.0,High
