Date,High,Precipitation
10/30/20,61,0 
10/29/20,61,0 
10/28/20,54.96,0
10/27/20,44,0
10/26/20,34,0
10/25/20,32,0
10/24/20,34,.01
10/23/20,34,.51
10/22/20,45,0
10/21/20,48,.03
10/20/20,55,0
10/19/20,63,0
10/18/20,52,.05
10/17/20,61,0
10/16/20,64,0
10/15/20,55,0
10/14/20,55,0
10/13/20,63,.019
10/12/20,61,0
10/11/20,55,.08
10/10/20,57,.05
10/9/20,73,0
10/8/20,73,0
10/7/20,82,0
10/6/20,82,0
10/5/20,77,0
10/4/20,79,0
10/3/20,79,0
10/2/20,79,0
10/1/20,75,0
9/30/20,81,0
9/29/20,81,0
9/28/20,72,0
9/27/20,66,0
9/26/20,63,0
9/25/20,63,.04
9/24/20,66,.03
9/23/20,75,0
9/22/20,75,0
9/21/20,75,0
9/20/20,72,0
9/19/20,68,.21
9/18/20,75,0
9/17/20,79,0
9/16/20,79,0
9/15/20,79,0
9/14/20,73,0
9/13/20,70,0
9/12/20,81,0
9/11/20,88,0
9/10/20,86,0
9/9/20,82,0
9/8/20,72,0
9/7/20,72,0
9/6/20,91,0
9/5/20,91,0
9/4/20,97,0
9/3/20,90,0
9/2/20,88,0
9/1/20,88,0
8/31/20,73,0
8/30/20,75,0
8/29/20,84,0
