Date,tmax,prec,temp cat
2020-08-29,69.98,0.0,High
2020-08-30,66.2,0.0,High
2020-08-31,65.66,0.0,High
2020-09-01,66.38,0.0,High
2020-09-02,74.12,0.0,High
2020-09-03,73.22,0.0,High
2020-09-04,74.84,0.0,High
2020-09-05,76.28,0.0,High
2020-09-06,73.94,0.0,High
2020-09-07,71.78,0.0,High
2020-09-08,56.120000000000005,0.0,Low
2020-09-09,61.34,0.0,High
2020-09-10,67.82,0.0,High
2020-09-11,69.62,0.0,High
2020-09-12,68.18,0.0,High
2020-09-13,60.8,0.0,High
2020-09-14,61.16,0.0,High
2020-09-15,62.06,0.0,High
2020-09-16,65.48,0.0,High
2020-09-17,63.68000000000001,0.0,High
2020-09-18,61.88,0.0,High
2020-09-19,62.42,0.0,High
2020-09-20,59.900000000000006,0.0,Low
2020-09-21,60.08,0.0,Low
2020-09-22,63.5,0.0,High
2020-09-23,63.5,1.0,High
2020-09-24,60.620000000000005,1.0,Low
2020-09-25,53.06,1.0,Low
2020-09-26,51.980000000000004,0.0,Low
2020-09-27,51.8,0.0,Low
2020-09-28,54.86,0.0,Low
2020-09-29,59.18,0.0,Low
2020-09-30,63.14,0.0,High
2020-10-01,62.24,0.0,High
2020-10-02,63.68000000000001,0.0,High
2020-10-03,62.96,0.0,High
2020-10-04,61.519999999999996,0.0,High
2020-10-05,61.34,0.0,High
2020-10-06,63.14,0.0,High
2020-10-07,64.94,0.0,High
2020-10-08,61.519999999999996,0.0,High
2020-10-09,60.620000000000005,0.0,Low
2020-10-10,58.1,1.0,Low
2020-10-11,46.94,1.0,Low
2020-10-12,50.540000000000006,0.0,Low
2020-10-13,48.2,1.0,Low
2020-10-14,47.120000000000005,0.0,Low
2020-10-15,42.980000000000004,0.0,Low
2020-10-16,49.1,0.0,Low
2020-10-17,53.42,0.0,Low
2020-10-18,46.94,1.0,Low
2020-10-19,48.74,0.0,Low
2020-10-20,45.32,0.0,Low
2020-10-21,40.82,0.0,Low
2020-10-22,36.14,0.0,Low
2020-10-23,31.46,1.0,Low
2020-10-24,29.48,1.0,Low
2020-10-25,21.38,1.0,Low
2020-10-26,21.02,1.0,Low
2020-10-27,27.68,1.0,Low
2020-10-28,37.58,1.0,Low
2020-10-29,44.78,0.0,Low
2020-10-30,48.019999999999996,0.0,Low
